Nom,TTL,Type,Valeur
maxaswims.fr,900,A,81.88.57.68
maxaswims.fr,900,MX,10 mail-fr.securemail.pro
smtp.maxaswims.fr,900,CNAME,smtp-fr.securemail.pro
webmail.maxaswims.fr,900,CNAME,webmail-fr.setupdns.net
mail.maxaswims.fr,900,CNAME,mail-fr.securemail.pro
www.maxaswims.fr,900,CNAME,onstatic-fr.setupdns.net
ftp.maxaswims.fr,900,CNAME,maxaswims.fr
pim.maxaswims.fr,900,CNAME,pim-fr.webapps.net
maxaswims.fr,900,TXT,v=spf1 include:spf.webapps.net ~all
autoconfig.maxaswims.fr,900,CNAME,tb-fr.securemail.pro
_autodiscover._tcp.maxaswims.fr,900,SRV,10 10 443 ms-fr.securemail.pro
maxaswims.github.io.maxaswims.fr,900,CNAME,maxaswims.fr
